title,raw_title,author,avg_rating,ratings_count,cover_url,details_url,page_count,genres,description,source
The Cathedral and the Bazaar,The Cathedral and the Bazaar,Eric S. Raymond,4.22,18,https://covers.openlibrary.org/b/id/805932-L.jpg,https://openlibrary.org/works/OL6036025W,256,"Development, Computer hackers, open source development, open source, Open source software","Open source provides the competitive advantage in the Internet Age. According to the August Forrester Report, 56 percent of IT managers interviewed at Global 2,500 companies are already using some type of open source software in their infrastructure and another 6 percent will install it in the next two years. This revolutionary model for collaborative software development is being embraced and studied by many of the biggest players in the high-tech industry, from Sun Microsystems to IBM to Intel.The Cathedral & the Bazaar is a must for anyone who cares about the future of the computer industry or the dynamics of the information economy. Already, billions of dollars have been made and lost based on the ideas in this book. Its conclusions will be studied, debated, and implemented for years to come. According to Bob Young, ""This is Eric Raymond's great contribution to the success of the open source revolution, to the adoption of Linux-based operating systems, and to the success of open source users and the companies that supply them.""The interest in open source software development has grown enormously in the past year. This revised and expanded paperback edition includes new material on open source developments in 1999 and 2000. Raymond's clear and effective writing style accurately describing the benefits of open source software has been key to its success. With major vendors creating acceptance for open source within companies, independent vendors will become the open source story in 2001.",open_library_api
Programming in Scala: A Comprehensive Step-by-step Guide,Programming in Scala: A Comprehensive Step-by-step Guide,Martin Odersky,4.22,1663,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267787153i/5680904._SX50_.jpg,https://www.goodreads.com/book/show/5680904-programming-in-scala,410,General,No description available.,goodreads_scraped
"HTML and CSS QuickStart Guide: The Simplified Beginners Guide to Developing a Strong Coding Foundation, Building Responsive Websites, and Mastering ...","HTML and CSS QuickStart Guide: The Simplified Beginners Guide to Developing a Strong Coding Foundation, Building Responsive Websites, and Mastering ...",David Durocher,4.22,9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612629382i/56971310._SX50_.jpg,https://www.goodreads.com/book/show/56971310-html-and-css-quickstart-guide,361,Computers,No description available.,goodreads_scraped
"Don't Make Me Think, Revisited","Don't Make Me Think, Revisited",Steve Krug,4.21,14,https://covers.openlibrary.org/b/id/10329409-L.jpg,https://openlibrary.org/works/OL21163225W,216,"Web sites, design, Web sites--design, Web site development, Web sites--evaluation, Tk5105.888 .k78 2014",No description available.,open_library_api
Artificial Intelligence: A Modern Approach,Artificial Intelligence: A Modern Approach,Stuart Russell,4.21,4478,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333191638i/1127841._SX50_.jpg,https://www.goodreads.com/book/show/1127841.Artificial_Intelligence,410,General,No description available.,goodreads_scraped
Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,Seeing Like a State: How Certain Schemes to Improve the Human Condition Have Failed,James C. Scott,4.21,7206,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563058549i/20186._SY75_.jpg,https://www.goodreads.com/book/show/20186.Seeing_Like_a_State,454,"Central planning, Social engineering, Social aspects of Central planning, Social aspects, Authoritarianism",No description available.,goodreads_scraped
"Applied Cryptography: Protocols, Algorithms, and Source Code in C","Applied Cryptography: Protocols, Algorithms, and Source Code in C",Bruce Schneier,4.21,2139,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387734235i/351301._SX50_.jpg,https://www.goodreads.com/book/show/351301.Applied_Cryptography,784,"Security measures, Telecommunication, Computer security, Cryptography, C (Computer program language)",No description available.,goodreads_scraped
Clean Architecture,Clean Architecture,Robert C. Martin,4.21,7211,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471680093i/18043011._SX50_.jpg,https://www.goodreads.com/book/show/18043011-clean-architecture,410,General,No description available.,goodreads_scraped
Head First Android Development,Head First Android Development,Dawn Griffiths,4.21,400,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457512055i/29467350._SX50_.jpg,https://www.goodreads.com/book/show/29467350-head-first-android-development,410,General,No description available.,goodreads_scraped
Fundamental Kotlin,Fundamental Kotlin,Miloš  Vasić,4.21,38,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475073984i/32307194._SX50_.jpg,https://www.goodreads.com/book/show/32307194-fundamental-kotlin,410,General,No description available.,goodreads_scraped
Design Patterns: Elements of Reusable Object-Oriented Software,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,4.2,12006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348027904i/85009._SX50_.jpg,https://www.goodreads.com/book/show/85009.Design_Patterns,395,"Reusability, Object-oriented programming (Computer science), Computer software, Software patterns, Entwurfsmuster",No description available.,goodreads_scraped
Implementing Lean Software Development: From Concept to Cash),Implementing Lean Software Development: From Concept to Cash (Addison-Wesley Signature Series (Beck)),Mary Poppendieck,4.2,868,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388500407i/349417._SX50_.jpg,https://www.goodreads.com/book/show/349417.Implementing_Lean_Software_Development,304,"Development, Production management, Computer software, Computer software, development",No description available.,goodreads_scraped
C++ Programming: From Problem Analysis to Program Design,C++ Programming: From Problem Analysis to Program Design,D.S. Malik,4.2,199,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355873759i/12667136._SX50_.jpg,https://www.goodreads.com/book/show/12667136-c-programming,410,General,No description available.,goodreads_scraped
"Learning PHP, MySQL & JavaScript","Learning PHP, MySQL & JavaScript",Robin Nixon,4.2,5,https://covers.openlibrary.org/b/id/5724818-L.jpg,https://openlibrary.org/works/OL9559525W,812,"PHP (Computer program language), Web sites, Web site development, Design, MySQL (Electronic resource)","Learning PHP, MySQL & JavaScript will teach you how to create responsive, data-driven websites with the three central technologies of PHP, MySQL and JavaScript - whether or not you know how to program. This simple, streamlined guide explains how the powerful combination of PHP and MySQL provides a painless way to build modern websites with dynamic data and user interaction. You'll also learn how to add JavaScript to create rich Internet websites and applications, and how to use Ajax to handle background communication with a web server. This book explains each technology separately, shows you how to combine them, and introduces valuable concepts in modern web programming, including objects, XHTML, cookies, regular expressions and session management.",open_library_api
Pre-release center program test design,Pre-release center program test design,Unknown Author,4.2,30,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?q=80&w=300&auto=format&fit=crop,https://openlibrary.org/works/OL14921145M,17,"Pre-release programs for prisoners -- United States, Community-based corrections -- United States",No description available.,open_library_api
Unequal Protection: The Rise of Corporate Dominance and the Theft of Human Rights,Unequal Protection: The Rise of Corporate Dominance and the Theft of Human Rights,Thom Hartmann,4.2,633,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312024358i/433932._SX50_.jpg,https://www.goodreads.com/book/show/433932.Unequal_Protection,410,General,No description available.,goodreads_scraped
Hacker's Delight,Hacker's Delight,Henry S. Warren Jr.,4.2,1139,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385216522i/276079._SY75_.jpg,https://www.goodreads.com/book/show/276079.Hacker_s_Delight,320,"Computer programming, Computer hackers, Hackers, Qa76.6 .w375 2013, 005.1",No description available.,goodreads_scraped
2001,2001,Arthur C. Clarke,4.2,123,https://covers.openlibrary.org/b/id/11344400-L.jpg,https://openlibrary.org/works/OL17365W,236,"Human-computer interaction, Computers, Fiction, Science fiction, Twenty-first century","A novel that proposes an idea about how the human race might have begun and where it might be headed...given a little help from out there. A colaboration of ideas with director Stanley Kubrick in the late 1960's it begins at ""the dawn of man"" and then leaps to the year 2001 where a mission to Saturn (Jupiter in the film) is mounted to try and answer questions raised by the discovery of an ancient artifact dug up on the moon. Though not particularly fast paced, the science is good, and there are a few hair raising events. There are also interesting speculations about the future, such as the space shuttle, and a device eerily similar to an iPad. Leaving plenty of room for contemplation and the appreciation for the inevitable trials of space travel, this is one of the truly landmark pieces of hard science fiction.",open_library_api
The player of games,The player of games,Iain Banks,4.2,79,https://covers.openlibrary.org/b/id/44077-L.jpg,https://openlibrary.org/works/OL100779W,320,"OverDrive, Fiction, Science Fiction, Science Fiction & Fantasy, Accessible book","The Culture - a human/machine symbiotic society - has thrown up many great Game Players, and one of the greatest is Gurgeh. Jernau Morat Gurgeh. The Player of Games. Master of every board, computer, and strategy.
Bored with success, Gurgeh travels to the Empire of Azad, cruel and incredibly wealthy, to try their fabulous game ... a game so complex, so like life itself, that the winner becomes emperor. Mocked, blackmailed, almost murdered, Gurgeh accepts the game, and with it the challenge of his life - a very possibly his death.",open_library_api
"Design Patterns: Elements of Reusable Object-oriented Software / Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development, 2 Volume Set","Design Patterns: Elements of Reusable Object-oriented Software / Applying UML and Patterns: An Introduction to Object-Oriented Analysis and Design and Iterative Development, 2 Volume Set",Erich Gamma,4.2,12006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180662124i/1062814._SX50_.jpg,https://www.goodreads.com/book/show/1062814.Design_Patterns,410,General,No description available.,goodreads_scraped
Programming Pearls,Programming Pearls,Jon L. Bentley,4.2,3225,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385191091i/52084._SX50_.jpg,https://www.goodreads.com/book/show/52084.Programming_Pearls,410,General,No description available.,goodreads_scraped
The Book of Why,The Book of Why,Judea Pearl,4.2,5,https://covers.openlibrary.org/b/id/8179733-L.jpg,https://openlibrary.org/works/OL17872278W,425,"Nonfiction, Computers, Computer Science, Causation, Inference","A Turing Award-winning computer scientist and statistician shows how understanding causality has revolutionized science and will revolutionize artificial intelligence

“Correlation is not causation.” This mantra, chanted by scientists for more than a century, has led to a virtual prohibition on causal talk. Today, that taboo is dead. The causal revolution, instigated by Judea Pearl and his colleagues, has cut through a century of confusion and established causality–the study of cause and effect–on a firm scientific basis. His work explains how we can know easy things, like whether it was rain or a sprinkler that made a sidewalk wet; and how to answer hard questions, like whether a drug cured an illness. Pearl’s work enables us to know not just whether one thing causes another: it lets us explore the world that is and the worlds that could have been. It shows us the essence of human thought and key to artificial intelligence. Anyone who wants to understand either needs The Book of Why.",open_library_api
Effective Python,Effective Python,Brett Slatkin,4.2,5,https://covers.openlibrary.org/b/id/7363706-L.jpg,https://openlibrary.org/works/OL17192267W,368,"Python (Computer program language), Computer programming, Python (computer program language), Python (programspråk), Programmering","The Python programming language has unique strengths and charms that can be hard to grasp. Many programmers familiar with other languages often approach Python from a limited mindset instead of embracing its full expressivity. Some programmers go too far in the other direction, overusing Python features that can cause big problems later.

Effective Python provides insight into the Pythonic way of writing programs: the best way to use Python. It builds on a fundamental understanding of the language that I assume you already have. Novice programmers will learn the best practices of Python’s capabilities. Experienced programmers will learn how to embrace the strangeness of a new tool with confidence.  -[(Source)][1]


  [1]: http://www.effectivepython.com/",open_library_api
Continuous delivery,Continuous delivery,Jez Humble,4.2,3315,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347640457i/8686650._SX50_.jpg,https://www.goodreads.com/book/show/8686650-continuous-delivery,410,General,No description available.,goodreads_scraped
The Go Programming Language,The Go Programming Language,Alan A. A. Donovan,4.2,5,https://covers.openlibrary.org/b/id/7427319-L.jpg,https://openlibrary.org/works/OL17348524W,399,"Computer programs, Go (Computer program language), Programming, Open source software",No description available.,open_library_api
Think Complexity: Complexity Science and Computational Modeling,Think Complexity: Complexity Science and Computational Modeling,Allen B. Downey,4.2,5,https://covers.openlibrary.org/b/id/8508584-L.jpg,https://openlibrary.org/works/OL19542561W,160,"Computational complexity, Python (Computer program language), Python (computer program language), COMPUTERS, Programming Languages",No description available.,open_library_api
Theory of Recursive Functions and Effective Computability,Theory of Recursive Functions and Effective Computability,Hartley Rogers,4.2,20,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347359712i/2366834._SY75_.jpg,https://www.goodreads.com/book/show/2366834.Theory_of_Recursive_Functions_and_Effective_Computability,410,General,No description available.,goodreads_scraped
Inside the Machine: An Illustrated Introduction to Microprocessors and Computer Architecture,Inside the Machine: An Illustrated Introduction to Microprocessors and Computer Architecture,Jon Stokes,4.2,288,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328753443i/610830._SX50_.jpg,https://www.goodreads.com/book/show/610830.Inside_the_Machine,320,"Computer architecture, Microprocessors, design and construction",No description available.,goodreads_scraped
PHP & MySQL,PHP & MySQL,Jon Duckett,4.2,5,https://covers.openlibrary.org/b/id/10095878-L.jpg,https://openlibrary.org/works/OL20799566W,672,"Php (computer program language), Web site development, Sql (computer program language), Mathematics",No description available.,open_library_api
"Growing Object-Oriented Software, Guided by Tests)","Growing Object-Oriented Software, Guided by Tests (Addison-Wesley Signature Series (Beck))",Steve Freeman,4.19,2467,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348030542i/4268826._SX50_.jpg,https://www.goodreads.com/book/show/4268826-growing-object-oriented-software-guided-by-tests-addison-wesley-signat,410,General,No description available.,goodreads_scraped
Communication Networks: Fundamental Concepts and Key Architectures,Communication Networks: Fundamental Concepts and Key Architectures,Alberto Leon-Garcia,4.19,53,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921392i/62846._SX50_.jpg,https://www.goodreads.com/book/show/62846.Communication_Networks,900,"Computer networks, Telecommunication systems, Computer network architectures, Telecommunicatietechniek, Datatransmissie",No description available.,goodreads_scraped
Desire Never Changes,Desire Never Changes,Penny Jordan,4.19,16,https://covers.openlibrary.org/b/id/9606214-L.jpg,https://openlibrary.org/works/OL3759059W,221,"Fiction, Romance, Contemporary, Photography,  fiction, Computer programming, fiction, Photographers, fiction, Marriage proposals, fiction","Marry Chase Lorimer--impossible!

Since 18 year old  Somer MacDonald's humiliating encounter with 28 year old Chase Lorimer on the isle of Jersey, she had kept men at a distance.

Five years ago she had foolishly tried to prove her sexual desirability by seducing the gorgeous world-renowned photographer. But her plan had backfired when Chase coldly denied her advances.

Now Chase was suddenly back in her life--and he wanted to marry her! The all-encompassing force drawing Somer to him was undeniable. But could she risk rejection again?",open_library_api
Pro Git,Pro Git,Scott Chacon,4.18,3413,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383771684i/6518085._SX50_.jpg,https://www.goodreads.com/book/show/6518085-pro-git,426,"Computer science, Software engineering, Electronic data processing, Distributed processing, Git (Computer file)","*Pro Git* is your fully-updated guide to Git and its usage in the modern world. Git has come a long way since it was first developed by Linus Torvalds for Linux kernel development. It has taken the open source world by storm since its inception in 2005, and this book teaches you how to use it like a pro.

Effective and well-implemented version control is a necessity for successful web projects, whether large or small. With this book you’ll learn how to master the world of distributed version workflow, use the distributed features of Git to the full, and extend Git to meet your every need.",goodreads_scraped
The Art of UNIX Programming,The Art of UNIX Programming,Eric S. Raymond,4.18,1271,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348957784i/104745._SX50_.jpg,https://www.goodreads.com/book/show/104745.The_Art_of_UNIX_Programming,525,"Operating systems (Computers), UNIX (Computer file), Unix shells (computer programs), Systèmes d'exploitation (Ordinateurs)","The Art of Unix Programming attempts to capture the engineering wisdom and philosophy of the Unix community as it's applied today — not merely as it has been written down in the past, but as a living ""special transmission, outside the scriptures"" passed from guru to guru. Accordingly, the book doesn't focus so much on ""what"" as on ""why"", showing the connection between Unix philosophy and practice through case studies in widely available open-source software. [Authors Site][1]


  [1]: http://catb.org/~esr/writings/taoup/",goodreads_scraped
Code,Code,Charles Petzold,4.18,22,https://covers.openlibrary.org/b/id/460968-L.jpg,https://openlibrary.org/works/OL1972516W,393,"Computer programming, Coding theory, Datenverarbeitung, Computers, Hardware","What do flashlights, the British invasion, black cats, and seesaws have to do with computers? In CODE, they show us the ingenious ways we manipulate language and invent new means of communicating with each other. And through CODE, we see how this ingenuity and our very human compulsion to communicate have driven the technological innovations of the past two centuries. 

Using everyday objects and familiar language systems such as Braille and Morse code, author Charles Petzold weaves an illuminating narrative for anyone who’s ever wondered about the secret inner life of computers and other smart machines. 

It’s a cleverly illustrated and eminently comprehensible story—and along the way, you’ll discover you’ve gained a real context for understanding today’s world of PCs, digital media, and the Internet. No matter what your level of technical savvy, CODE will charm you—and perhaps even awaken the technophile within.",open_library_api
"Applied Network Security Monitoring: Collection, Detection, and Analysis","Applied Network Security Monitoring: Collection, Detection, and Analysis",Chris Sanders,4.18,65,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1378102260i/18349711._SX50_.jpg,https://www.goodreads.com/book/show/18349711-applied-network-security-monitoring,410,"Computer networks, security measures",No description available.,goodreads_scraped
C: A Reference Manual,C: A Reference Manual,Samuel P. Harbison III,4.18,310,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387714577i/946107._SX50_.jpg,https://www.goodreads.com/book/show/946107.C,410,General,No description available.,goodreads_scraped
Thinking In Systems: A Primer,Thinking In Systems: A Primer,Donella H. Meadows,4.18,23716,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390169859i/3828902._SY75_.jpg,https://www.goodreads.com/book/show/3828902-thinking-in-systems,240,"critical thinking, systems thinking, systems dynamics, complex systems, policy","A clear, thoughtful, and wide-reaching exploration of complex systems, in theory and in practice. Meadows was a masterful and elegant writer and researcher, and an early voice in systems analysis at MIT and elsewhere. This book, completed from draft manuscript after Meadows' death, is both accessible and deeply thought-provoking. She connects the dots between careful descriptions of systems analysis and systems insights, and the personal, social, societal, and political implications of systems thinking.",goodreads_scraped
Windows Powershell in Action,Windows Powershell in Action,Bruce Payette,4.18,187,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347679107i/11467371._SX50_.jpg,https://www.goodreads.com/book/show/11467371-windows-powershell-in-action,410,General,No description available.,goodreads_scraped
Engines of Creation: The Coming Era of Nanotechnology,Engines of Creation: The Coming Era of Nanotechnology,Eric Drexler,4.18,937,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320504490i/83596._SY75_.jpg,https://www.goodreads.com/book/show/83596.Engines_of_Creation,298,"Forecasts, High technology, Nanotechnology, Twentieth century, Technischer Fortschritt",No description available.,goodreads_scraped
How Linux Works: What Every Superuser Should Know,How Linux Works: What Every Superuser Should Know,Brian  Ward,4.18,1257,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328753430i/514432._SX50_.jpg,https://www.goodreads.com/book/show/514432.How_Linux_Works,390,"Operating systems (Computers), Linux, Linux (computer operating system), Technology, Computers","Unlike some operating systems, Linux doesn’t try to hide the important bits from you—it gives you full control of your computer. But to truly master Linux, you need to understand its internals, like how the system boots, how networking works, and what the kernel actually does.

In this completely revised second edition of the perennial best seller How Linux Works, author Brian Ward makes the concepts behind Linux internals accessible to anyone curious about the inner workings of the operating system. Inside, you’ll find the kind of knowledge that normally comes from years of experience doing things the hard way. You’ll learn:
–How Linux boots, from boot loaders to init implementations (systemd, Upstart, and System V)
–How the kernel manages devices, device drivers, and processes
–How networking, interfaces, firewalls, and servers work
–How development tools work and relate to shared libraries
–How to write effective shell scripts

You’ll also explore the kernel and examine key system tasks inside user space, including system calls, input and output, and filesystems. With its combination of background, theory, real-world examples, and patient explanations, How Linux Works will teach you what you need to know to solve pesky problems and take control of your operating system.",goodreads_scraped
"Functional Web Development with Elixir, OTP, and Phoenix: Rethink the Modern Web App","Functional Web Development with Elixir, OTP, and Phoenix: Rethink the Modern Web App",Lance Halvorsen,4.17,81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519374610i/38726929._SX50_.jpg,https://www.goodreads.com/book/show/38726929-functional-web-development-with-elixir-otp-and-phoenix,220,"Web site development, Elixir (Computer program language), Programming, Web applications, Programming languages (electronic computers)",No description available.,goodreads_scraped
Learn Linux Quickly: A Friendly Guide to Easily Master the World's Most Powerful Operating System.,Learn Linux Quickly: A Friendly Guide to Easily Master the World's Most Powerful Operating System.,Ahmed Alkabary,4.17,24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590572763i/53493868._SX50_.jpg,https://www.goodreads.com/book/show/53493868-learn-linux-quickly,410,General,No description available.,goodreads_scraped
JavaScript Patterns: Build Better Applications with Coding and Design Patterns,JavaScript Patterns: Build Better Applications with Coding and Design Patterns,Stoyan Stefanov,4.17,1629,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344668503i/9422683._SX50_.jpg,https://www.goodreads.com/book/show/9422683-javascript-patterns,240,"Web site development, Software patterns, JavaScript (Computer program language), Javascript, General",No description available.,goodreads_scraped
Smalltalk Best Practice Patterns,Smalltalk Best Practice Patterns,Kent Beck,4.17,283,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390275474i/781561._SX50_.jpg,https://www.goodreads.com/book/show/781561.Smalltalk_Best_Practice_Patterns,224,"Smalltalk (Computer program language), Object-oriented programming (computer science)",No description available.,goodreads_scraped
Algorithm Design,Algorithm Design,Jon Kleinberg,4.17,668,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348335904i/145055._SX50_.jpg,https://www.goodreads.com/book/show/145055.Algorithm_Design,924,"Computer algorithms, Data structures (Computer science), Algorithmes, Structures de donnees (Informatique), Algoritmen","""Algorithm Design takes a fresh approach to the algorithms course, introducing algorithmic ideas through the real-world problems that motivate them. In a clear, direct style, Jon Kleinberg and Eva Tardos teach students to analyze and define problems for themselves, and from this to recognize which design principles are appropriate for a given situation. The text encourages a greater understanding of the algorithm design process and an appreciation of the role of algorithms in the broader field of computer science.""--Jacket.",goodreads_scraped
Masters of Doom,Masters of Doom,David Kushner,4.17,35,https://covers.openlibrary.org/b/id/606299-L.jpg,https://openlibrary.org/works/OL5957689W,336,"Computer games, History, Computer programmers, Programming, Biography","""To my taste, the greatest American myth of cosmogenesis features the maladjusted, antisocial, genius teenage boy who, in the insular laboratory of his own bedroom, invents the universe from scratch. Masters of Doom is a particularly inspired rendition. Dave Kushner chronicles the saga of video game virtuosi Carmack and Romero with terrific brio. This is a page-turning, mythopoeic cyber-soap opera about two glamorous geek geniuses--and it should be read while scarfing down pepperoni pizza and swilling Diet Coke, with Queens of the Stone Age cranked up all the way."" --Mark Leyner, author of I Smell Esther WilliamsMasters of Doom is the amazing true story of the Lennon and McCartney of video games: John Carmack and John Romero. Together, they ruled big business. They transformed popular culture. And they provoked a national controversy. More than anything, they lived a unique and rollicking American Dream, escaping the broken homes of their youth to co-create the most notoriously successful game franchises in history--Doom and Quake--until the games they made tore them apart.Americans spend more money on video games than on movie tickets. Masters of Doom is the first book to chronicle this industry's greatest story, written by one of the medium's leading observers. David Kushner takes readers inside the rags-to-riches adventure of two rebellious entrepreneurs who came of age to shape a generation. The vivid portrait reveals why their games are so violent and why their immersion in their brilliantly designed fantasy worlds offered them solace. And it shows how they channeled their fury and imagination into products that are a formative influence on our culture, from MTV to the Internet to Columbine. This is a story of friendship and betrayal, commerce and artistry--a powerful and compassionate account of what it's like to be young, driven, and wildly creative. From the Hardcover edition.",open_library_api
Don't Make Me Think,Don't Make Me Think,Steve Krug,4.17,18,https://covers.openlibrary.org/b/id/554640-L.jpg,https://openlibrary.org/works/OL8578577W,201,"Web sites, Web site development, Design, Evaluation, Publishing","Yesterday's Web looked far different from today's Web, and tomorrow's Web will look more different still. Amidst all of this change, however, one aspect of Web use remains the same: The sites that offer the best, easiest, most intuitive experience are the ones people visit again and again. To ensure that your sites provide that experience, this guide from usability guru Krug distills his years of on-the-job experience into a practical primer on the do's and don'ts of good Web design. The second edition of this classic adds three new chapters that explain why people really leave Web sites, how to make sites usable and accessible, and the art of surviving executive design whims, plus a new preface and updated recommended reading.--From publisher description",open_library_api
Python for Data Analysis,Python for Data Analysis,Wes McKinney,4.17,2470,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356132971i/14744694._SX50_.jpg,https://www.goodreads.com/book/show/14744694-python-for-data-analysis,508,"Programming languages (Electronic computers), Python (Computer program language), Data mining, Python (Langage de programmation), Exploration de données (Informatique)",Serves as an introduction to Python for data-intensive applications.,goodreads_scraped
JavaScript and jQuery,JavaScript and jQuery,Jon Duckett,4.17,6,https://covers.openlibrary.org/b/id/7419725-L.jpg,https://openlibrary.org/works/OL17341092W,640,"JavaScript (Computer program language), Web site development, Computers--programming languages--javascript, Javascript, Jquery","This is not your average programming book.

We understand that all kinds of people build websites these days (and that they don’t all have a degree in computer science).

So, if you want to use JavaScript to make your web pages more interactive, interesting, and usable, we can help. Even if you have never done any programming.",open_library_api
Land of Lisp,Land of Lisp,Conrad Barski,4.16,677,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403198191i/6905041._SX50_.jpg,https://www.goodreads.com/book/show/6905041-land-of-lisp,482,"computer programming, lisp, progamming, Computer games, COMMON LISP (Computer program language)",No description available.,goodreads_scraped
Hackers: Heroes of the Computer Revolution,Hackers: Heroes of the Computer Revolution,Steven Levy,4.16,8628,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435697935i/56829._SY75_.jpg,https://www.goodreads.com/book/show/56829.Hackers,456,"Computer programming, Electronic digital computers, Programming, Computer hackers, History","Today, technology is cool. Owning the most powerful computer, the latest high-tech gadget, and the whizziest website is a status symbol on a par with having a flashy car or a designer suit. And a media obsessed with the digital explosion has reappropriated the term ""computer nerd"" so that it's practically synonymous with ""entrepreneur."" Yet, a mere fifteen years ago, wireheads hooked on tweaking endless lines of code were seen as marginal weirdos, outsiders whose world would never resonate with the mainstream. That was before one pioneering work documented the underground computer revolution that was about to change our world forever.

With groundbreaking profiles of Bill Gates, Steve Wozniak, MIT's Tech Model Railroad Club, and more, Steven Levy's Hackers brilliantly captures a seminal moment when the risk takers and explorers were poised to conquer twentieth-century America's last great frontier. And in the Internet age, ""the hacker ethic"" -- first espoused here -- is alive and well. - Back cover.",goodreads_scraped
The Mythical Man-Month,The Mythical Man-Month,Frederick P. Brooks,4.16,31,https://covers.openlibrary.org/b/id/6915361-L.jpg,https://openlibrary.org/works/OL3510570W,195,"Computer programming management, Addresses, essays, lectures, Software engineering, Electronic digital computers, Programming","Classic text on the human side of software engineering, containing essays on the management of software teams, projections about how computer languages and tools will evolve, and philosophical speculation. Unlike most other books about computing, Brooks' work has been remarkably enduring, remaining in print for at least four decades. The book is most famous for its statement of Brooks' Law: ""adding manpower to a late software project makes it later"".",open_library_api
Freedom™,Freedom™,Daniel Suarez,4.16,31,https://covers.openlibrary.org/b/id/8231871-L.jpg,https://openlibrary.org/works/OL14996932W,416,"Human-computer interaction, Stockbrokers, International economic integration, Science fiction, Fiction","The propulsive, shockingly plausible sequel to New York Times bestseller DaemonIn one of the most buzzed-about debuts of 2009, Daniel Suarez introduced a terrifying vision of a new world order, controlled by the Daemon, an insidious computer program unleashed by a hi-tech wunderkind, Daemon captured the attention of the tech community, became a New York Times and Indie bestseller, and left readers hungry for more.Well, more is here, and it's even more gripping than its predecessor.In the opening chapters of Freedom(tm), the Daemon is firmly in control, using an expanded network of real-world, dispossessed darknet operatives to tear apart civilization and rebuild it anew. Soon civil war breaks out in the American Midwest, in a brutal wave of violence that becomes known as the Corn Rebellion. Former detective Pete Sebeck, now the Daemon's most powerful-though reluctant-operative, must lead a small band of enlightened humans toward a populist movement designed to protect the new world order. But the private armies of global business are preparing to crush the Daemon once and for all.In a world of conflicted loyalties, rapidly diminishing human power, and the possibility that anyone can be a spy, what's at stake is nothing less than human freedom's last hope to survive the technology revolution.",open_library_api
Specifying Systems: The TLA+ Language and Tools for Hardware and Software Engineers,Specifying Systems: The TLA+ Language and Tools for Hardware and Software Engineers,Leslie Lamport,4.16,45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347853481i/2159127._SX50_.jpg,https://www.goodreads.com/book/show/2159127.Specifying_Systems,410,General,No description available.,goodreads_scraped
